Nome,Ano de Lançamento,Produtora,País de Origem,Número de Downloads,Multiplayer,Máximo de Jogadores
Profundezas Vulcânicas,2022,Volcanic Depths,Canadá,185236,Não,1
Conflito no Deserto,2017,Desert Conflict,Estados Unidos,318965,Sim,32
Sussurros das Estrelas,2025,Star Whispers,China,128596,Não,1
Heróis de Zaltar,2016,Zaltar Heroes,Coreia do Sul,258741,Sim,36
A Montanha Sombria,2023,Shadow Peak,França,165214,Não,1
Guerra nas Profundezas,2019,Deep Sea Wars,Alemanha,305218,Sim,88
O Labirinto Dourado,2024,Golden Maze Corp.,México,142589,Não,1
Aventura no Gelo,2021,Ice Adventure,Brasil,365214,Sim,24
O Segredo do Deserto,2018,Desert Secret,Rússia,238965,Não,1
Fúria da Selva,2020,Jungle Fury,Índia,287451,Sim,68
Mundos de Gelo,2022,Ice Worlds Inc.,Reino Unido,192587,Não,1
Guerras de Gangues,2017,Gang Wars,Japão,325896,Sim,34
Melodia do Oceano,2025,Ocean Melody,Canadá,135896,Não,1
Lendas de Midgard,2016,Midgard Legends,Estados Unidos,265879,Sim,38
O Jardim Suspenso,2023,Hanging Garden,China,172145,Não,1
Batalha Galáctica II,2019,Galactic Battle,Coreia do Sul,312548,Sim,92
O Enigma da Selva,2024,Jungle Riddle,França,148963,Não,1
A Corrida Aquática,2021,Water Race Games,Alemanha,372158,Sim,26
O Chamado do Abismo,2018,Abyss Call,México,245871,Não,1
Ira dos Céus,2020,Sky Fury,Brasil,294128,Sim,72
Profundezas de Lava,2022,Lava Depths,Rússia,198765,Não,1
Conflito nas Ruínas,2017,Ruins Conflict,Índia,332589,Sim,36
Sussurros da Aurora,2025,Dawn Whispers,Reino Unido,142589,Não,1
Heróis de Avalon II,2016,Round Table Games,Japão,272145,Sim,40
A Ilha Vulcânica,2023,Volcanic Island,Canadá,178965,Não,1
Guerra nas Sombras,2019,Shadow Wars Inc.,Estados Unidos,318521,Sim,96
O Labirinto de Cristal,2024,Crystal Maze Corp.,China,155236,Não,1
Aventura Submarina II,2021,Aqua Dream,Coreia do Sul,378521,Sim,28
O Segredo do Vulcão,2018,Volcano Secret,França,252148,Não,1
Fúria da Montanha,2020,Mountain Fury,Alemanha,301478,Sim,76
Mundos de Lava,2022,Lava Worlds Inc.,México,205892,Não,1
Império Subterrâneo,2017,Underground Empire,Brasil,338741,Sim,38
Canções do Mar,2025,Sea Songs,Rússia,152147,Não,1
Cavaleiros da Noite,2016,Night Knights Inc.,Índia,278521,Sim,42
A Floresta Assombrada,2023,Haunted Forest,Reino Unido,185238,Não,1
Batalha Final Y,2019,Omega Force,Japão,325147,Sim,100
O Castelo de Gelo,2024,Ice Castle,Canadá,161478,Não,1
A Grande Aventura,2021,Great Adventure Co.,Estados Unidos,385214,Sim,30
O Tesouro da Selva,2018,Jungle Treasure Co.,China,265879,Não,1
Ira dos Ventos,2020,Wind Fury,Coreia do Sul,312478,Sim,84 
